旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"愛知郡","名古屋市・長久手市・東郷町","郡廃止","2012-01-04","長久手町の市制で消滅"
"長久手町","長久手市","市制","2012-01-04","愛知郡"
"東郷町","東郷町","残存","","愛知郡（現存）"
"幡豆郡","西尾市","郡廃止","2011-04-01","一色町ほかが西尾市に編入され消滅"
"一色町","西尾市","編入","2011-04-01","幡豆郡"
"吉良町","西尾市","編入","2011-04-01","幡豆郡"
"幡豆町","西尾市","編入","2011-04-01","幡豆郡"
"碧海郡","安城市・碧南市等","郡廃止","1972-04-01","全市制化により消滅"
"知多郡","半田市・常滑市・阿久比町等","郡縮小","","阿久比町等が残存"
"南知多町","南知多町","残存","","知多郡（現存）"
"美浜町","美浜町","残存","","知多郡（現存）"
"東海市","東海市","市残存","","知多郡から独立"
"額田郡","岡崎市・幸田町","郡縮小","2006-01-01","岡崎市が藤岡町・六ツ美市区域を吸収"
"藤岡町","豊田市","編入","2005-04-01","西加茂郡"
"小原村","豊田市","編入","2005-04-01","西加茂郡"
"西加茂郡","豊田市","郡廃止","2005-04-01","全町村が豊田市に編入"
"旭町","豊田市","編入","2005-04-01","東加茂郡"
"足助町","豊田市","編入","2005-04-01","東加茂郡"
"下山村","豊田市","編入","2005-04-01","東加茂郡"
"東加茂郡","豊田市","郡廃止","2005-04-01","全町村が豊田市に編入"
"稲沢市","稲沢市","市廃止/合併","2005-04-01","旧稲沢市+祖父江町+平和町合併"
"祖父江町","稲沢市","編入","2005-04-01","中島郡"
"平和町","稲沢市","編入","2005-04-01","中島郡"
"中島郡","稲沢市","郡廃止","2005-04-01","祖父江町・平和町が稲沢市に編入"
