旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"河辺郡","秋田市","郡廃止","2005-01-11","河辺町・雄和町が秋田市に編入され消滅"
"河辺町","秋田市","編入","2005-01-11","河辺郡"
"雄和町","秋田市","編入","2005-01-11","河辺郡"
"由利郡","由利本荘市","郡廃止","2005-03-22","7町が合併し由利本荘市発足により消滅"
"本荘市","由利本荘市","市廃止/合併","2005-03-22","7町と合併し由利本荘市発足"
"矢島町","由利本荘市","編入","2005-03-22","由利郡"
"岩城町","由利本荘市","編入","2005-03-22","由利郡"
"由利町","由利本荘市","編入","2005-03-22","由利郡"
"西目町","由利本荘市","編入","2005-03-22","由利郡"
"鳥海町","由利本荘市","編入","2005-03-22","由利郡"
"東由利町","由利本荘市","編入","2005-03-22","由利郡"
"大内町","由利本荘市","編入","2005-03-22","由利郡"
"仙北郡","大仙市・仙北市","郡廃止","2005-09-20","各町村が大仙市・仙北市に再編され消滅"
"大曲市","大仙市","市廃止/合併","2005-03-22","7市町村合併し大仙市発足"
"神岡町","大仙市","編入","2005-03-22","仙北郡"
"西仙北町","大仙市","編入","2005-03-22","仙北郡"
"中仙町","大仙市","編入","2005-03-22","仙北郡"
"協和町","大仙市","編入","2005-03-22","仙北郡"
"南外村","大仙市","編入","2005-03-22","仙北郡"
"仙南村","大仙市","編入","2005-03-22","仙北郡"
"角館町","仙北市","合併","2005-09-20","仙北郡"
"田沢湖町","仙北市","合併","2005-09-20","仙北郡"
"西木村","仙北市","合併","2005-09-20","仙北郡"
