旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"下北郡","むつ市","郡廃止","2005-03-14","大畑町・川内町・脇野沢村がむつ市に編入され郡消滅"
"大畑町","むつ市","編入","2005-03-14","下北郡"
"川内町","むつ市","編入","2005-03-14","下北郡"
"脇野沢村","むつ市","編入","2005-03-14","下北郡"
"浪岡町","青森市","編入","2005-04-01","南津軽郡"
"岩木町","弘前市","編入","2006-02-27","中津軽郡"
"相馬村","弘前市","編入","2006-02-27","中津軽郡"
"中津軽郡","弘前市","郡廃止","2006-02-27","岩木町・相馬村の弘前市編入により消滅"
"百石町","おいらせ町","合併","2006-03-31","上北郡"
"下田町","おいらせ町","合併","2006-03-31","上北郡"
"木造町","つがる市","合併","2005-02-11","西津軽郡"
"森田村","つがる市","合併","2005-02-11","西津軽郡"
"柏村","つがる市","合併","2005-02-11","西津軽郡"
"稲垣村","つがる市","合併","2005-02-11","西津軽郡"
"車力村","つがる市","合併","2005-02-11","西津軽郡"
"平賀町","平川市","合併","2006-01-01","南津軽郡"
"尾上町","平川市","合併","2006-01-01","南津軽郡"
"碇ヶ関村","平川市","合併","2006-01-01","南津軽郡"
