旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"関宿町","野田市","編入","2003-06-06","平成の大合併（東葛飾郡）"
"三芳村","館山市","編入","2006-03-20","平成の大合併（安房郡）"
"富山町","南房総市","市廃止/合併","2006-03-20","6町合併し南房総市発足（安房郡）"
"白浜町","南房総市","市廃止/合併","2006-03-20","6町合併し南房総市発足（安房郡）"
"千倉町","南房総市","市廃止/合併","2006-03-20","6町合併し南房総市発足（安房郡）"
"丸山町","南房総市","市廃止/合併","2006-03-20","6町合併し南房総市発足（安房郡）"
"和田町","南房総市","市廃止/合併","2006-03-20","6町合併し南房総市発足（安房郡）"
"天津小湊町","鴨川市","編入","2004-11-01","平成の大合併（安房郡）"
"大原町","いすみ市","市廃止/合併","2009-03-23","3町合併しいすみ市発足（夷隅郡）"
"岬町","いすみ市","市廃止/合併","2009-03-23","3町合併しいすみ市発足（夷隅郡）"
"夷隅町","いすみ市","市廃止/合併","2009-03-23","3町合併しいすみ市発足（夷隅郡）"
"佐原市","香取市","市廃止/合併","2006-03-27","4市町合併し香取市発足"
"小見川町","香取市","市廃止/合併","2006-03-27","4市町合併し香取市発足（香取郡）"
"山田町","香取市","市廃止/合併","2006-03-27","4市町合併し香取市発足（香取郡）"
"栗源町","香取市","市廃止/合併","2006-03-27","4市町合併し香取市発足（香取郡）"
"八日市場市","匝瑳市","市廃止/合併","2006-01-23","野栄町と合併し匝瑳市発足"
"野栄町","匝瑳市","市廃止/合併","2006-01-23","八日市場市と合併し匝瑳市発足（匝瑳郡）"
"旭市","旭市","市廃止/合併","2005-07-01","旧旭市・海上町・飯岡町・干潟町が合併し新旭市発足"
"海上町","旭市","編入","2005-07-01","平成の大合併（海上郡）"
"飯岡町","旭市","編入","2005-07-01","平成の大合併（海上郡）"
"干潟町","旭市","編入","2005-07-01","平成の大合併（香取郡）"
"山武町","山武市","市廃止/合併","2006-03-27","4町合併し山武市発足（山武郡）"
"蓮沼村","山武市","市廃止/合併","2006-03-27","4町合併し山武市発足（山武郡）"
"松尾町","山武市","市廃止/合併","2006-03-27","4町合併し山武市発足（山武郡）"
"成東町","山武市","市廃止/合併","2006-03-27","4町合併し山武市発足（山武郡）"
"沼南町","柏市","編入","2005-03-28","平成の大合併（東葛飾郡）"
"白井町","白井市","市制","2001-04-01","北総鉄道沿線の開発に伴い市制施行（印旛郡）"
"本埜村","印西市","編入","2010-03-23","平成の大合併（印旛郡）"
"印旛村","印西市","編入","2010-03-23","平成の大合併（印旛郡）"
"都賀町","千葉市若葉区","編入","2005-03-28","千葉郡最後の町が千葉市に編入され千葉郡消滅（千葉郡）"
"千葉郡","千葉市等","郡廃止","2005-03-28","都賀町の千葉市編入により千葉郡消滅"
"海上郡","旭市","郡廃止","2005-07-01","海上町が旭市に編入され海上郡消滅"
"匝瑳郡","匝瑳市","郡廃止","2006-01-23","野栄町が匝瑳市に編入され匝瑳郡消滅"
