旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"温泉郡","松山市・東温市","郡廃止","2004-09-21","各町が松山市・東温市に再編され消滅"
"重信町","東温市","合併","2004-09-21","温泉郡"
"川内町","東温市","合併","2004-09-21","温泉郡"
"北条市","松山市","市廃止/合併","2005-01-01","松山市に編入"
"中島町","松山市","編入","2005-01-01","温泉郡"
"松前町","伊予市","合併","2005-01-01","伊予郡（残存）"
"上浮穴郡","久万高原町","郡縮小","2004-08-01","久万高原町のみ残存"
"面河村","久万高原町","合併","2004-08-01","上浮穴郡"
"柳谷村","久万高原町","合併","2004-08-01","上浮穴郡"
"美川村","久万高原町","合併","2004-08-01","上浮穴郡"
"久万町","久万高原町","合併","2004-08-01","上浮穴郡"
"周桑郡","西条市・東温市","郡廃止","2004-09-21","各町が西条市等に編入され消滅"
"丹原町","西条市","編入","2004-11-01","周桑郡"
"小松町","西条市","編入","2004-11-01","周桑郡"
"越智郡","今治市・上島町","郡縮小","2004-04-01","今治市大合併、上島町のみ残存"
"朝倉村","今治市","編入","2004-04-01","越智郡"
"玉川町","今治市","編入","2004-04-01","越智郡"
"波方町","今治市","編入","2004-04-01","越智郡"
"大西町","今治市","編入","2004-04-01","越智郡"
"菊間町","今治市","編入","2004-04-01","越智郡"
"吉海町","今治市","編入","2004-04-01","越智郡"
"宮窪町","今治市","編入","2004-04-01","越智郡"
"伯方町","今治市","編入","2004-04-01","越智郡"
"大三島町","今治市","編入","2004-04-01","越智郡"
"関前村","今治市","編入","2004-04-01","越智郡"
"北宇和郡","鬼北町・松野町","郡縮小","","2町が残存"
"広見町","鬼北町","合併","2005-01-01","北宇和郡"
"日吉村","鬼北町","合併","2005-01-01","北宇和郡"
"南宇和郡","愛南町","郡縮小","2004-10-01","愛南町のみ残存"
