旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"足羽郡","福井市","郡廃止","2006-02-01","美山町が福井市に編入され消滅"
"美山町","福井市","編入","2006-02-01","足羽郡"
"清水町","福井市","編入","2006-02-01","足羽郡"
"越廼村","福井市","編入","2006-02-01","足羽郡"
"丹生郡","越前町・南越前町・越前市","郡廃止","2005-02-01","各町が再編され消滅"
"宮崎村","越前市","編入","2005-02-01","丹生郡"
"朝日町","越前市","編入","2005-02-01","丹生郡"
"糸生町","越前市","編入","2005-02-01","丹生郡"
"今立町","越前市","編入","2005-02-01","今立郡"
"池田町","池田町","残存","","今立郡（現存）"
"今立郡","越前市・池田町","郡縮小","2005-02-01","今立町が越前市に編入"
"武生市","越前市","市廃止/合併","2005-10-01","武生市+今立町合併し越前市発足"
"大野市","大野市","市廃止/合併","2005-11-07","旧大野市+和泉村合併し新大野市"
"和泉村","大野市","編入","2005-11-07","大野郡"
"小浜市","小浜市","市廃止/合併","2005-03-31","小浜市+内外海村+加斗村合併"
"内外海村","小浜市","編入","2005-03-31","遠敷郡"
"加斗村","小浜市","編入","2005-03-31","遠敷郡"
"遠敷郡","小浜市・若狭町","郡廃止","2005-03-31","上中町ほかが再編され消滅"
"三方郡","若狭町・美浜町","郡縮小","","美浜町が残存"
"上中町","若狭町","合併","2005-03-31","遠敷郡"
"三方町","若狭町","合併","2005-03-31","三方郡"
