旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"筑紫郡","那珂川市・春日市","郡縮小","","那珂川市は2018年市制で郡消滅"
"那珂川町","那珂川市","市制","2018-10-01","筑紫郡"
"粕屋郡","粕屋町・志免町・宇美町・篠栗町・須恵町・久山町・新宮町","郡縮小","","7町が残存"
"三井郡","大刀洗町","郡縮小","","大刀洗町のみ残存"
"小郡市","小郡市","市残存","","三井郡から独立"
"朝倉郡","筑前町・東峰村","郡縮小","","2町村が残存"
"夜須町","筑前町","合併","2005-03-28","朝倉郡"
"三輪町","筑前町","合併","2005-03-28","朝倉郡"
"嘉穂郡","嘉麻市・桂川町","郡縮小","","桂川町が残存"
"山田市","嘉麻市","市廃止/合併","2006-03-27","4市町合併し嘉麻市発足"
"稲築町","嘉麻市","合併","2006-03-27","嘉穂郡"
"碓井町","嘉麻市","合併","2006-03-27","嘉穂郡"
"嘉穂町","嘉麻市","合併","2006-03-27","嘉穂郡"
"鞍手郡","宮若市・鞍手町・小竹町","郡縮小","","2町が残存"
"若宮町","宮若市","合併","2006-02-11","鞍手郡"
"宮田町","宮若市","合併","2006-02-11","鞍手郡"
"遠賀郡","芦屋町・水巻町・岡垣町・遠賀町","郡縮小","","4町が残存"
"八女郡","広川町","郡縮小","","広川町のみ残存"
"黒木町","八女市","合併","2010-02-01","八女郡"
"立花町","八女市","合併","2010-02-01","八女郡"
"矢部村","八女市","合併","2010-02-01","八女郡"
"星野村","八女市","合併","2010-02-01","八女郡"
"上陽町","八女市","合併","2010-02-01","八女郡"
"三潴郡","大木町","郡縮小","","大木町のみ残存"
"柳川市","柳川市","市廃止/合併","2005-03-21","柳川市+大和町+三橋町合併"
"大和町","柳川市","合併","2005-03-21","三潴郡"
"三橋町","柳川市","合併","2005-03-21","三潴郡"
