旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"安達郡","二本松市・本宮市","郡廃止","2007-01-01","各町村が二本松市・本宮市に再編され消滅"
"岩代町","二本松市","編入","2005-12-01","安達郡"
"東和町","二本松市","編入","2005-12-01","安達郡"
"白沢村","本宮市","合併","2007-01-01","安達郡"
"和田村","本宮市","合併","2007-01-01","安達郡"
"本宮町","本宮市","市制","2007-01-01","安達郡"
"河沼郡","喜多方市・会津坂下町・湯川村・柳津町","郡縮小","","喜多方市編入等"
"北塩原村","北塩原村","残存","","耶麻郡（現存）"
"西会津町","西会津町","残存","","耶麻郡（現存）"
"磐梯町","磐梯町","残存","","耶麻郡（現存）"
"猪苗代町","猪苗代町","残存","","耶麻郡（現存）"
"喜多方市","喜多方市","市廃止/合併","2006-01-04","喜多方市+熱塩加納村+塩川町+山都町+高郷村合併"
"熱塩加納村","喜多方市","編入","2006-01-04","耶麻郡"
"塩川町","喜多方市","編入","2006-01-04","耶麻郡"
"山都町","喜多方市","編入","2006-01-04","耶麻郡"
"高郷村","喜多方市","編入","2006-01-04","耶麻郡"
"勿来市","いわき市","市廃止/合併","1966-10-01","昭和の大合併でいわき市に統合"
"内郷市","いわき市","市廃止/合併","1966-10-01","昭和の大合併でいわき市に統合"
"平市","いわき市","市廃止/合併","1966-10-01","昭和の大合併でいわき市に統合"
"常磐市","いわき市","市廃止/合併","1966-10-01","昭和の大合併でいわき市に統合"
"磐城市","いわき市","市廃止/合併","1966-10-01","昭和の大合併でいわき市に統合"
