旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"山県郡","山県市・本巣市・北方町等","郡廃止","2003-04-01","美山町・高富町・伊自良村合併し山県市発足"
"美山町","山県市","合併","2003-04-01","山県郡"
"高富町","山県市","合併","2003-04-01","山県郡"
"伊自良村","山県市","合併","2003-04-01","山県郡"
"本巣郡","本巣市・北方町等","郡縮小","2004-02-01","本巣市発足等で縮小（北方町が残存）"
"糸貫町","本巣市","合併","2004-02-01","本巣郡"
"真正町","本巣市","合併","2004-02-01","本巣郡"
"巣南町","本巣市","合併","2004-02-01","本巣郡"
"本巣町","本巣市","合併","2004-02-01","本巣郡"
"武儀郡","関市","郡廃止","2005-02-07","武芸川町ほかが関市に編入され消滅"
"武芸川町","関市","編入","2005-02-07","武儀郡"
"洞戸村","関市","編入","2005-02-07","武儀郡"
"板取村","関市","編入","2005-02-07","武儀郡"
"上之保村","関市","編入","2005-02-07","武儀郡"
"益田郡","下呂市","郡廃止","2004-03-01","萩原町ほかが合併し下呂市発足"
"萩原町","下呂市","合併","2004-03-01","益田郡"
"小坂町","下呂市","合併","2004-03-01","益田郡"
"下呂町","下呂市","合併","2004-03-01","益田郡"
"金山町","下呂市","合併","2004-03-01","益田郡"
"馬瀬村","下呂市","合併","2004-03-01","益田郡"
"大野郡","郡上市・白川村","郡縮小","","白川村のみ残存"
"八幡町","郡上市","合併","2004-03-01","郡上郡"
"郡上郡","郡上市","郡廃止","2004-03-01","各町村が合併し郡上市発足"
