旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"勢多郡","前橋市","郡廃止","2009-05-05","富士見村が前橋市に編入され消滅"
"富士見村","前橋市","編入","2009-05-05","勢多郡"
"新田郡","太田市・みどり市","郡廃止","2006-03-27","各町が太田市等に再編され消滅"
"新田町","太田市","編入","2005-03-28","新田郡"
"尾島町","太田市","編入","2005-03-28","新田郡"
"藪塚本町","太田市","編入","2005-03-28","新田郡"
"笠懸町","みどり市","合併","2006-03-27","新田郡"
"大間々町","みどり市","合併","2006-03-27","新田郡"
"多野郡","藤岡市・神流町・上野村","郡縮小","","神流町・上野村が残存"
"鬼石町","藤岡市","編入","2006-01-01","多野郡"
"児玉郡","本庄市・上里町・神川町","郡縮小","2006-01-10","美里町・神泉村等が合併・再編"
"神泉村","神川町","合併","2006-01-01","児玉郡"
"吾妻郡","東吾妻町・長野原町等","郡縮小","","一部残存"
"子持村","渋川市","編入","2006-02-20","吾妻郡"
"小野上村","渋川市","編入","2006-02-20","吾妻郡"
"赤城村","渋川市","編入","2006-02-20","勢多郡"
"北橘村","渋川市","編入","2006-02-20","勢多郡"
"伊香保町","渋川市","編入","2006-02-20","北群馬郡"
"北群馬郡","渋川市・榛東村・吉岡町","郡縮小","","榛東村・吉岡町が残存"
"佐波郡","伊勢崎市","郡廃止","2005-01-01","境町・赤堀町・東村が伊勢崎市に編入され消滅"
"境町","伊勢崎市","編入","2005-01-01","佐波郡"
"赤堀町","伊勢崎市","編入","2005-01-01","佐波郡"
"東村","伊勢崎市","編入","2005-01-01","佐波郡"
