旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"佐伯郡","廿日市市・大竹市・広島市佐伯区","郡廃止","2005-11-03","吉和村ほかが廿日市市に編入され消滅"
"吉和村","廿日市市","編入","2003-03-01","佐伯郡"
"宮島町","廿日市市","編入","2005-11-03","佐伯郡"
"大野町","廿日市市","編入","2005-11-03","佐伯郡"
"佐伯町","廿日市市","編入","2005-11-03","佐伯郡"
"安芸郡","広島市・海田町・熊野町・坂町・府中町","郡縮小","","4町が残存"
"高陽町","広島市北区","編入","1973-04-01","安佐郡"
"安佐郡","広島市安佐北区・安佐南区","郡廃止","1973年頃","各町の広島市編入で消滅"
"山県郡","北広島町・安芸太田町","郡縮小","","2町が残存"
"豊平町","北広島町","合併","2005-02-01","山県郡"
"大朝町","北広島町","合併","2005-02-01","山県郡"
"千代田町","北広島町","合併","2005-02-01","山県郡"
"芸北町","北広島町","合併","2005-02-01","山県郡"
"加計町","安芸太田町","合併","2004-10-01","山県郡"
"筒賀村","安芸太田町","合併","2004-10-01","山県郡"
"戸河内町","安芸太田町","合併","2004-10-01","山県郡"
"甲奴郡","三次市・上下町","郡縮小","2005-03-31","上下町→府中市編入で消滅"
"上下町","府中市","編入","2004-04-01","甲奴郡"
"双三郡","三次市","郡廃止","2004-04-01","各町村が三次市に編入"
"三良坂町","三次市","合併","2004-04-01","双三郡"
"三和町","三次市","合併","2004-04-01","双三郡"
"君田村","三次市","合併","2004-04-01","双三郡"
"布野村","三次市","合併","2004-04-01","双三郡"
"作木村","三次市","合併","2004-04-01","双三郡"
"世羅郡","世羅町","郡縮小","2004-10-01","世羅町・甲山町・世羅西町合併"
"世羅町","世羅町","合併","2004-10-01","世羅郡（新設合併）"
"甲山町","世羅町","合併","2004-10-01","世羅郡"
"世羅西町","世羅町","合併","2004-10-01","世羅郡"
