旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"亀田郡","函館市","郡廃止","2004-12-01","戸井町・恵山町・椴法華村・南茅部町の函館市編入により消滅"
"上磯郡","北斗市","郡廃止","2006-02-01","上磯町・大野町が合併し北斗市発足により消滅"
"戸井町","函館市","編入","2004-12-01","亀田郡"
"恵山町","函館市","編入","2004-12-01","亀田郡"
"椴法華村","函館市","編入","2004-12-01","亀田郡"
"南茅部町","函館市","編入","2004-12-01","亀田郡"
"上磯町","北斗市","合併","2006-02-01","上磯郡"
"大野町","北斗市","合併","2006-02-01","上磯郡"
"阿寒町","釧路市","編入","2005-10-11","阿寒郡"
"音別町","釧路市","編入","2005-10-11","白糠郡"
"川湯町","弟子屈町","合併","2005-06-01","川上郡（弟子屈町に統合）"
"虻田町","洞爺湖町","合併","2006-03-27","虻田郡"
"洞爺村","洞爺湖町","合併","2006-03-27","虻田郡"
"豊浦町","洞爺湖町","合併","2006-03-27","虻田郡（現在は別の豊浦町として存続）"
"壮瞥町","壮瞥町","残存","","虻田郡（現存）"
"旧上川郡","旭川市","郡縮小","","一部町村が市制・編入"
"鷹栖町","旭川市","編入","2005-09-01","上川郡"
"東神楽町","旭川市","残存","","上川郡（現存）"
"花咲郡","根室市","郡廃止","2006-03-31","根室市が花咲郡各町を編入・消滅"
"歯舞村","根室市","編入","1959-04-01","花咲郡"
"納沙布村","根室市","編入","","花咲郡"
"夕張市","夕張市","市残存","","人口減少著しいが存続"
