旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"津名郡","洲本市・淡路市","郡廃止","2006-02-11","淡路市発足・洲本市編入等で消滅"
"一宮町","淡路市","合併","2005-04-01","津名郡"
"東浦町","淡路市","合併","2005-04-01","津名郡"
"淡路町","淡路市","合併","2005-04-01","津名郡"
"北淡町","淡路市","合併","2005-04-01","津名郡"
"五色町","洲本市","編入","2006-02-11","津名郡"
"緑郡","南あわじ市","郡廃止","2005-01-11","全町合併し南あわじ市発足"
"三原郡","南あわじ市","郡廃止","2005-01-11","全町合併し南あわじ市発足"
"西淡町","南あわじ市","合併","2005-01-11","三原郡"
"三原町","南あわじ市","合併","2005-01-11","三原郡"
"南淡町","南あわじ市","合併","2005-01-11","緑郡"
"緑町","南あわじ市","合併","2005-01-11","緑郡"
"氷上郡","丹波市","郡廃止","2004-11-01","6町合併し丹波市発足"
"柏原町","丹波市","合併","2004-11-01","氷上郡"
"氷上町","丹波市","合併","2004-11-01","氷上郡"
"青垣町","丹波市","合併","2004-11-01","氷上郡"
"春日町","丹波市","合併","2004-11-01","氷上郡"
"山南町","丹波市","合併","2004-11-01","氷上郡"
"市島町","丹波市","合併","2004-11-01","氷上郡"
"城崎郡","豊岡市","郡廃止","2005-04-01","城崎町ほかが豊岡市に編入され消滅"
"城崎町","豊岡市","編入","2005-04-01","城崎郡"
"竹野町","豊岡市","編入","2005-04-01","城崎郡"
"日高町","豊岡市","編入","2005-04-01","城崎郡"
"出石郡","豊岡市","郡廃止","2005-04-01","出石町・但東町が豊岡市に編入され消滅"
"出石町","豊岡市","編入","2005-04-01","出石郡"
"但東町","豊岡市","編入","2005-04-01","出石郡"
"多紀郡","丹波篠山市","郡廃止","1999-04-01","篠山町等合併し篠山市発足（後に丹波篠山市）"
"篠山町","丹波篠山市","合併","1999-04-01","多紀郡"
"西紀町","丹波篠山市","合併","1999-04-01","多紀郡"
"丹南町","丹波篠山市","合併","1999-04-01","多紀郡"
"今田町","丹波篠山市","合併","1999-04-01","多紀郡"
