旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"真壁郡","桜川市・筑西市","郡廃止","2005-10-01","真壁町ほかが桜川市・筑西市に再編され消滅"
"真壁町","桜川市","合併","2005-10-01","真壁郡"
"大和村","桜川市","合併","2005-10-01","真壁郡"
"岩瀬町","桜川市","合併","2005-10-01","真壁郡"
"関城町","筑西市","合併","2005-03-28","真壁郡"
"明野町","筑西市","合併","2005-03-28","真壁郡"
"協和町","筑西市","合併","2005-03-28","真壁郡"
"下館市","筑西市","市廃止/合併","2005-03-28","4市町合併し筑西市発足"
"新治郡","土浦市・つくば市等","郡廃止","2006-02-20","各町が市に編入され消滅"
"新治村","つくば市","編入","2006-02-20","新治郡"
"千代田町","かすみがうら市","合併","2005-03-28","新治郡"
"霞ヶ浦町","かすみがうら市","合併","2005-03-28","新治郡"
"東茨城郡","水戸市・茨城町等","郡縮小","","茨城町・大洗町・城里町が残存"
"内原町","水戸市","編入","2005-02-01","東茨城郡"
"常北町","城里町","合併","2005-02-01","東茨城郡"
"桂村","城里町","合併","2005-02-01","東茨城郡"
"七会村","城里町","合併","2005-02-01","東茨城郡"
"鹿嶋市","鹿嶋市","市残存","","鹿島町→市制（1995）"
"波崎町","神栖市","合併","2005-08-01","鹿島郡"
"神栖町","神栖市","市制","2005-08-01","鹿島郡"
