旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"河北郡","かほく市・津幡町・内灘町","郡縮小","","津幡町・内灘町が残存"
"宇ノ気町","かほく市","合併","2004-03-01","河北郡"
"高松町","かほく市","合併","2004-03-01","河北郡"
"七塚町","かほく市","合併","2004-03-01","河北郡"
"松任市","白山市","市廃止/合併","2005-02-01","11市町村合併し白山市発足"
"鶴来町","白山市","編入","2005-02-01","石川郡"
"美川町","白山市","編入","2005-02-01","石川郡"
"野々市町","野々市市","市制","2011-11-11","石川郡"
"石川郡","白山市・野々市市","郡廃止","2011-11-11","野々市市制で消滅"
"輪島市","輪島市","市廃止/合併","2006-02-01","輪島市+門前町合併し新輪島市"
"門前町","輪島市","編入","2006-02-01","鳳珠郡"
"珠洲市","珠洲市","市残存","","能登半島先端"
"能都町","穴水町","合併","2005-03-01","鳳珠郡（→のと里山海道沿線）"
"柳田村","能登町","合併","2005-03-01","鳳珠郡"
"内浦町","能登町","合併","2005-03-01","鳳珠郡"
"鳳珠郡","穴水町・能登町","郡縮小","2005-03-01","能都町ほかが再編"
"羽咋郡","宝達志水町・志賀町","郡縮小","","宝達志水町・志賀町が残存"
"押水町","宝達志水町","合併","2006-02-01","羽咋郡"
"志雄町","宝達志水町","合併","2006-02-01","羽咋郡"
