旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"胆沢郡","奥州市","郡廃止","2006-02-20","前沢町・胆沢町・衣川村が奥州市に編入され消滅"
"水沢市","奥州市","市廃止/合併","2006-02-20","5市町村合併し奥州市発足"
"江刺市","奥州市","市廃止/合併","2006-02-20","5市町村合併し奥州市発足"
"前沢町","奥州市","編入","2006-02-20","胆沢郡"
"胆沢町","奥州市","編入","2006-02-20","胆沢郡"
"衣川村","奥州市","編入","2006-02-20","胆沢郡"
"稗貫郡","花巻市","郡廃止","2006-01-01","石鳥谷町・大迫町・東和町が花巻市に編入され消滅"
"石鳥谷町","花巻市","編入","2006-01-01","稗貫郡"
"大迫町","花巻市","編入","2006-01-01","稗貫郡"
"東和町","花巻市","編入","2006-01-01","稗貫郡"
"気仙郡","住田町","郡縮小","2001-11-15","三陸町→大船渡市編入で縮小、住田町のみ残存"
"三陸町","大船渡市","編入","2001-11-15","気仙郡"
"花泉町","一関市","編入","2005-09-20","西磐井郡"
"大東町","一関市","編入","2005-09-20","西磐井郡"
"千厩町","一関市","編入","2005-09-20","西磐井郡"
"東磐井郡","一関市","郡廃止","2005-09-20","各町が一関市に編入され消滅"
"藤沢町","一関市","編入","2011-09-26","東磐井郡（最後の残存町）"
"好摩町","盛岡市","編入","1986-11-01","岩手郡"
