旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"大川郡","東かがわ市","郡廃止","2003-04-01","引田町・白鳥町・大内町合併し東かがわ市"
"引田町","東かがわ市","合併","2003-04-01","大川郡"
"白鳥町","東かがわ市","合併","2003-04-01","大川郡"
"大内町","東かがわ市","合併","2003-04-01","大川郡"
"寒川郡","さぬき市","郡廃止","2002-04-01","津田町ほかが合併しさぬき市"
"津田町","さぬき市","合併","2002-04-01","寒川郡"
"大川郡（寒川郡側）","さぬき市","郡廃止","2002-04-01","長尾町ほかさぬき市"
"志度町","さぬき市","合併","2002-04-01","大川郡"
"長尾町","さぬき市","合併","2002-04-01","大川郡"
"造田村","さぬき市","合併","2002-04-01","大川郡"
"多和村","さぬき市","合併","2002-04-01","大川郡"
"綾歌郡","丸亀市・綾川町","郡縮小","","綾川町のみ残存"
"綾上町","綾川町","合併","2006-03-21","綾歌郡"
"綾南町","綾川町","合併","2006-03-21","綾歌郡"
"仲多度郡","多度津町・まんのう町・琴平町・善通寺市周辺","郡縮小","","3町が残存"
"琴南町","まんのう町","合併","2006-03-21","仲多度郡"
"満濃町","まんのう町","合併","2006-03-21","仲多度郡"
"仲南町","まんのう町","合併","2006-03-21","仲多度郡"
"三豊郡","三豊市・観音寺市","郡廃止","2006-01-01","全町合併し三豊市等発足"
"豊中町","三豊市","合併","2006-01-01","三豊郡"
"詫間町","三豊市","合併","2006-01-01","三豊郡"
"高瀬町","三豊市","合併","2006-01-01","三豊郡"
"山本町","三豊市","合併","2006-01-01","三豊郡"
"三野町","三豊市","合併","2006-01-01","三豊郡"
"仁尾町","三豊市","合併","2006-01-01","三豊郡"
"財田村","三豊市","合併","2006-01-01","三豊郡"
"小豆郡","小豆島町・土庄町","郡縮小","","2町が残存"
"池田町","小豆島町","合併","2006-03-21","小豆郡"
"内海町","小豆島町","合併","2006-03-21","小豆郡"
