旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"薩摩郡","薩摩川内市・さつま町","郡縮小","","さつま町が残存"
"入来町","薩摩川内市","編入","2004-10-12","薩摩郡"
"東郷町","薩摩川内市","編入","2004-10-12","薩摩郡"
"樋脇町","薩摩川内市","編入","2004-10-12","薩摩郡"
"川内市","薩摩川内市","市廃止/合併","2004-10-12","川内市+周辺9町合併"
"祁答院町","薩摩川内市","編入","2004-10-12","薩摩郡"
"上甑村","薩摩川内市","編入","2004-10-12","薩摩郡"
"下甑村","薩摩川内市","編入","2004-10-12","薩摩郡"
"里村","薩摩川内市","編入","2004-10-12","薩摩郡"
"鹿児島郡","いちき串木野市","郡縮小","","三島村・十島村が残存"
"日置郡","日置市・いちき串木野市","郡廃止","2005-05-01","各町が市に再編され消滅"
"伊集院町","日置市","合併","2005-05-01","日置郡"
"東市来町","日置市","合併","2005-05-01","日置郡"
"日吉町","日置市","合併","2005-05-01","日置郡"
"吹上町","日置市","合併","2005-05-01","日置郡"
"市来町","いちき串木野市","合併","2005-10-11","日置郡"
"串木野市","いちき串木野市","市廃止/合併","2005-10-11","串木野市+市来町合併"
"揖宿郡","指宿市","郡廃止","2006-01-01","山川町・開聞町が指宿市に編入され消滅"
"山川町","指宿市","編入","2006-01-01","揖宿郡"
"開聞町","指宿市","編入","2006-01-01","揖宿郡"
"川辺郡","南九州市","郡廃止","2007-12-01","知覧町ほかが南九州市に編入され消滅"
"知覧町","南九州市","合併","2007-12-01","川辺郡"
"川辺町","南九州市","合併","2007-12-01","川辺郡"
"頴娃町","南九州市","合併","2007-12-01","川辺郡"
"南薩郡","南さつま市","郡廃止","2005-11-07","各町が合併し南さつま市発足"
"加世田市","南さつま市","市廃止/合併","2005-11-07","加世田市+4町合併"
"大浦町","南さつま市","編入","2005-11-07","川辺郡（一部）"
"笠沙町","南さつま市","編入","2005-11-07","南薩郡"
"金峰町","南さつま市","編入","2005-11-07","南薩郡"
"坊津町","南さつま市","編入","2005-11-07","南薩郡"
"姶良郡","姶良市・涌水町・湧水町","郡縮小","","霧島市・姶良市等に再編"
"加治木町","姶良市","合併","2011-03-23","姶良郡"
"姶良町","姶良市","合併","2011-03-23","姶良郡"
"蒲生町","姶良市","合併","2011-03-23","姶良郡"
"大隅郡","鹿屋市","郡廃止","2006-01-01","各町が鹿屋市に編入等"
"輝北町","鹿屋市","編入","2006-01-01","大隅郡"
"串良町","鹿屋市","編入","2006-01-01","肝属郡"
"吾平町","鹿屋市","編入","2006-01-01","肝属郡"
