旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"久良岐郡","横浜市","郡廃止","1927-04-01","1927年に全町村が横浜市に編入され郡消滅"
"橘樹郡","横浜市・川崎市","郡廃止","1938-10-01","横浜市・川崎市への編入で郡消滅"
"都筑郡","横浜市","郡廃止","1939-04-01","横浜市への編入で郡消滅"
"鎌倉郡","横浜市・藤沢市等","郡廃止","1948-06-01","各市への編入で郡消滅"
"高座郡","相模原市・藤沢市等","郡残存","","寒川町のみ現存"
"中郡","平塚市・秦野市等","郡残存","","大磯町・二宮町のみ現存"
"足柄上郡","","郡残存","","中井町・大井町・松田町・山北町・開成町が現存"
"足柄下郡","","郡残存","","箱根町・真鶴町・湯河原町が現存"
"愛甲郡","","郡残存","","愛川町・清川村が現存"
"津久井郡","相模原市","郡廃止","2007-03-11","全町が相模原市に編入され郡消滅"
"津久井町","相模原市緑区","編入","2006-03-20","平成の大合併"
"相模湖町","相模原市緑区","編入","2006-03-20","平成の大合併"
"城山町","相模原市緑区","編入","2007-03-11","平成の大合併"
"藤野町","相模原市緑区","編入","2007-03-11","平成の大合併"
"戸太町","横浜市","編入","1901-04-01","久良岐郡"
"中村","横浜市","編入","1901-04-01","久良岐郡（現・中区）"
"根岸村","横浜市","編入","1901-04-01","久良岐郡"
"本牧村","横浜市","編入","1901-04-01","久良岐郡"
"神奈川町","横浜市","編入","1901-04-01","橘樹郡"
"屏風浦村","横浜市","編入","1927-04-01","久良岐郡"
"大岡川村","横浜市","編入","1927-04-01","久良岐郡"
"日下村","横浜市","編入","1927-04-01","久良岐郡"
"城郷村","横浜市","編入","1927-04-01","橘樹郡"
"大綱村","横浜市","編入","1927-04-01","橘樹郡"
"旭村","横浜市","編入","1927-04-01","橘樹郡（現・旭区）"
"鶴見町","横浜市鶴見区","編入","1927-04-01","橘樹郡"
"西谷村","横浜市","編入","1927-04-01","都筑郡"
"川崎町","川崎市","新設/市制","1924-07-01","橘樹郡"
"大師町","川崎市","新設/市制","1924-07-01","橘樹郡"
"御幸村","川崎市","新設/市制","1924-07-01","橘樹郡"
"田島町","川崎市","編入","1927-08-01","橘樹郡"
"中原町","川崎市","編入","1933-08-01","橘樹郡"
"高津町","川崎市","編入","1937-04-01","橘樹郡"
"日吉村","川崎市","編入","1937-04-01","橘樹郡"
"宮前村","川崎市","編入","1938-10-01","橘樹郡"
"向丘村","川崎市","編入","1938-10-01","橘樹郡"
"生田村","川崎市","編入","1938-10-01","橘樹郡"
"稲田町","川崎市","編入","1938-10-01","橘樹郡"
"柿生村","川崎市","編入","1939-06-01","都筑郡"
"岡上村","川崎市","編入","1939-06-01","都筑郡"
"相模原町","相模原市","市制","1954-11-20","高座郡"
"横須賀町","横須賀市","市制","1907-02-15",""
"平塚町","平塚市","市制","1932-04-01",""
"小田原町","小田原市","市制","1940-12-20",""
"茅ヶ崎町","茅ヶ崎市","市制","1947-10-01","高座郡"
"逗子町","逗子市","市制","1954-04-15","三浦郡"
"三浦町","三浦市","市制","1955-01-01","三浦郡"
"秦野町","秦野市","市制","1955-01-01","中郡"
"厚木町","厚木市","市制","1955-02-01","愛甲郡"
"大和町","大和市","市制","1959-02-01","高座郡"
"伊勢原町","伊勢原市","市制","1971-03-01","中郡"
"座間町","座間市","市制","1971-11-01","高座郡"
"海老名町","海老名市","市制","1971-11-01","高座郡"
"綾瀬町","綾瀬市","市制","1978-11-01","高座郡"
"南足柄町","南足柄市","市制","1972-04-01","足柄上郡"
