旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"長岡郡","南国市・大豊町・本山町","郡縮小","","2町が残存"
"吾川郡","いの町・仁淀川町","郡縮小","","2町が残存"
"伊野町","いの町","合併","2004-10-01","吾川郡"
"吾北村","いの町","合併","2004-10-01","吾川郡"
"池川町","仁淀川町","合併","2005-08-01","吾川郡"
"仁淀村","仁淀川町","合併","2005-08-01","吾川郡"
"越知町","越知町","残存","","吾川郡（現存）"
"高岡郡","佐川町・越知町・梼原町・日高村・津野町・四万十町","郡縮小","","6町村が残存"
"窪川町","四万十町","合併","2006-03-20","高岡郡"
"大正町","四万十町","合併","2006-03-20","高岡郡"
"十和村","四万十町","合併","2006-03-20","高岡郡"
"幡多郡","四万十市・黒潮町・大月町・三原村・土佐清水市周辺","郡縮小","","複数町村が残存"
"中村市","四万十市","市廃止/合併","2005-04-10","中村市+西土佐村合併"
"西土佐村","四万十市","編入","2005-04-10","幡多郡"
"安芸郡","安田町・東洋町・奈半利町・田野町・安芸市周辺","郡縮小","","複数町が残存"
"土佐郡","土佐町・大川村","郡縮小","","2町村が残存"
"香美郡","香美市・香南市","郡廃止","2006-03-01","各町が香美市・香南市に再編"
"土佐山田町","香美市","合併","2006-03-01","香美郡"
"物部村","香美市","合併","2006-03-01","香美郡"
"香北町","香美市","合併","2006-03-01","香美郡"
"赤岡町","香南市","合併","2006-03-01","香美郡"
"香我美町","香南市","合併","2006-03-01","香美郡"
"夜須町","香南市","合併","2006-03-01","香美郡"
"野市町","香南市","合併","2006-03-01","香美郡"
"吉川村","香南市","合併","2006-03-01","香美郡"
