旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"飽託郡","熊本市","郡廃止","1991-04-01","飽田町・天明町が熊本市に編入され消滅"
"飽田町","熊本市","編入","1991-04-01","飽託郡"
"天明町","熊本市","編入","1991-04-01","飽託郡"
"下益城郡","宇城市・美里町","郡縮小","","美里町のみ残存"
"松橋町","宇城市","合併","2005-01-15","下益城郡"
"小川町","宇城市","合併","2005-01-15","下益城郡"
"豊野町","宇城市","合併","2005-01-15","下益城郡"
"三角町","宇城市","合併","2005-01-15","宇土郡"
"不知火町","宇城市","合併","2005-01-15","宇土郡"
"宇土郡","宇城市","郡廃止","2005-01-15","三角町・不知火町が宇城市に編入"
"上益城郡","益城町・甲佐町・山都町・御船町・嘉島町","郡縮小","","5町が残存"
"矢部町","山都町","合併","2003-04-01","上益城郡"
"蘇陽町","山都町","合併","2003-04-01","上益城郡"
"清和村","山都町","合併","2003-04-01","上益城郡"
"八代郡","氷川町","郡縮小","","氷川町のみ残存"
"鏡町","八代市","編入","2005-08-01","八代郡"
"坂本村","八代市","編入","2005-08-01","八代郡"
"東陽村","八代市","編入","2005-08-01","八代郡"
"泉村","八代市","編入","2005-08-01","八代郡"
"葦北郡","芦北町・津奈木町","郡縮小","","2町が残存"
"田浦町","芦北町","合併","2004-11-01","葦北郡"
"球磨郡","錦町・多良木町・湯前町・水上村・相良村・五木村・山江村・球磨村・あさぎり町","郡縮小","","9町村が残存"
"岡原村","あさぎり町","合併","2003-04-01","球磨郡"
"須恵村","あさぎり町","合併","2003-04-01","球磨郡"
"免田町","あさぎり町","合併","2003-04-01","球磨郡"
"上村","あさぎり町","合併","2003-04-01","球磨郡"
"深田村","あさぎり町","合併","2003-04-01","球磨郡"
"天草郡","上天草市・天草市・苓北町","郡縮小","","苓北町が残存"
"本渡市","天草市","市廃止/合併","2006-03-27","5市町合併し天草市発足"
"牛深市","天草市","市廃止/合併","2006-03-27","天草市発足"
