旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"葛野郡","京都市","郡廃止","1931年頃","全村が京都市に編入"
"乙訓郡","長岡京市・大山崎町・向日市","郡縮小","","大山崎町のみ残存"
"向日町","向日市","市制","1972-10-01","乙訓郡"
"長岡京市","長岡京市","市残存","","乙訓郡から独立"
"相楽郡","木津川市・精華町・笠置町・和束町・南山城村","郡縮小","","複数町村が残存"
"木津町","木津川市","合併","2007-03-12","相楽郡"
"加茂町","木津川市","合併","2007-03-12","相楽郡"
"山城町","木津川市","合併","2007-03-12","相楽郡"
"綴喜郡","八幡市・京田辺市・井手町・宇治田原町","郡縮小","","井手町・宇治田原町が残存"
"田辺町","京田辺市","市制","1997-10-01","綴喜郡"
"船井郡","京丹波町・南丹市","郡縮小","","京丹波町が残存"
"丹波町","京丹波町","合併","2005-10-11","船井郡"
"瑞穂町","京丹波町","合併","2005-10-11","船井郡"
"和知町","京丹波町","合併","2005-10-11","船井郡"
"園部町","南丹市","合併","2006-01-01","船井郡"
"八木町","南丹市","合併","2006-01-01","船井郡"
"日吉町","南丹市","合併","2006-01-01","船井郡"
"美山町","南丹市","合併","2006-01-01","船井郡"
"中郡","峰山町・大宮町等→京丹後市","郡廃止","2004-04-01","6町合併し京丹後市発足"
"峰山町","京丹後市","合併","2004-04-01","中郡"
"大宮町","京丹後市","合併","2004-04-01","中郡"
"竹野郡","京丹後市","郡廃止","2004-04-01","各町が合併し京丹後市発足"
"熊野郡","京丹後市","郡廃止","2004-04-01","各町が合併し京丹後市発足"
"加佐郡","舞鶴市","郡廃止","1955年頃","各村が舞鶴市に編入"
