旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"安芸郡","鳥羽市・志摩市","郡廃止","2004-10-01","鳥羽市・阿児町等が合併・再編で消滅"
"阿児町","志摩市","合併","2004-10-01","志摩郡"
"浜島町","志摩市","合併","2004-10-01","志摩郡"
"大王町","志摩市","合併","2004-10-01","志摩郡"
"志摩町","志摩市","合併","2004-10-01","志摩郡"
"磯部町","志摩市","合併","2004-10-01","志摩郡"
"志摩郡","志摩市","郡廃止","2004-10-01","全町が合併し志摩市発足"
"一志郡","津市・松阪市","郡廃止","2006-01-01","各町村が津市に編入され消滅"
"美杉村","津市","編入","2006-01-01","一志郡"
"白山町","津市","編入","2006-01-01","一志郡"
"美里村","津市","編入","2006-01-01","一志郡"
"嬉野町","松阪市","編入","2005-01-01","一志郡"
"三雲町","松阪市","編入","2005-01-01","一志郡"
"飯南郡","松阪市","郡廃止","2005-01-01","飯南町・飯高町が松阪市に編入され消滅"
"飯南町","松阪市","編入","2005-01-01","飯南郡"
"飯高町","松阪市","編入","2005-01-01","飯南郡"
"多気郡","多気町・明和町・大台町・大紀町","郡縮小","","4町が残存"
"宮川村","大台町","合併","2006-01-10","多気郡"
"紀勢町","大紀町","合併","2006-01-10","度会郡"
"大内山村","大紀町","合併","2006-01-10","度会郡"
"度会郡","大紀町・玉城町等","郡縮小","","複数町が残存"
