旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"桃生郡","石巻市","郡廃止","2005-04-01","河南町ほか各町が石巻市に編入され消滅"
"河南町","石巻市","編入","2005-04-01","桃生郡"
"河北町","石巻市","編入","2005-04-01","桃生郡"
"雄勝町","石巻市","編入","2005-04-01","桃生郡"
"北上町","石巻市","編入","2005-04-01","牡鹿郡"
"牡鹿町","石巻市","編入","2005-04-01","牡鹿郡"
"志田郡","大崎市","郡廃止","2006-03-31","三本木町ほかが大崎市に編入され消滅"
"玉造郡","大崎市","郡廃止","2006-03-31","鳴子町ほかが大崎市に編入され消滅"
"古川市","大崎市","市廃止/合併","2006-03-31","7市町村合併し大崎市発足"
"松山町","大崎市","編入","2006-03-31","志田郡"
"三本木町","大崎市","編入","2006-03-31","志田郡"
"鹿島台町","大崎市","編入","2006-03-31","志田郡"
"岩出山町","大崎市","編入","2006-03-31","玉造郡"
"鳴子町","大崎市","編入","2006-03-31","玉造郡"
"田尻町","大崎市","編入","2006-03-31","遠田郡"
"遠田郡","大崎市・美里町","郡縮小","2006-03-31","田尻町が大崎市編入、小牛田町・南郷町が美里町に"
"小牛田町","美里町","合併","2006-03-31","遠田郡"
"南郷町","美里町","合併","2006-03-31","遠田郡"
"宮城郡","松島町等","郡縮小","","利府町・七ヶ浜町・松島町・塩竈市周辺"
"多賀城市","多賀城市","市残存","","宮城郡から独立・市残存"
