旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"宮崎郡","宮崎市","郡廃止","2006-01-01","佐土原町ほかが宮崎市に編入され消滅"
"佐土原町","宮崎市","編入","2006-01-01","宮崎郡"
"田野町","宮崎市","編入","2010-03-23","宮崎郡"
"高岡町","宮崎市","編入","2010-03-23","宮崎郡"
"清武町","宮崎市","編入","2010-03-23","宮崎郡"
"児湯郡","都農町・川南町・高鍋町・新富町・木城町・西米良村","郡縮小","","6町村が残存"
"西都市","西都市","市残存","","旧児湯郡から市制"
"東諸県郡","国富町・綾町","郡縮小","","2町が残存"
"西諸県郡","えびの市","郡廃止","2006-01-01","飯野町・真幸町が合併しえびの市制後、残った町もえびの市に"
"小林市","小林市","市廃止/合併","2010-03-23","小林市+須木村+野尻町合併"
"須木村","小林市","編入","2010-03-23","西諸県郡"
"野尻町","小林市","編入","2010-03-23","西諸県郡"
"東臼杵郡","延岡市・日向市・美郷町・諸塚村・椎葉村","郡縮小","","複数町村が残存"
"北方町","延岡市","編入","2006-02-20","東臼杵郡"
"北川町","延岡市","編入","2006-02-20","東臼杵郡"
"日之影町","日之影町","残存","","西臼杵郡（現存）"
"五ヶ瀬町","五ヶ瀬町","残存","","西臼杵郡（現存）"
"西臼杵郡","高千穂町・日之影町・五ヶ瀬町","郡縮小","","3町が残存"
"南那珂郡","日南市・串間市","郡廃止","1970年代","全市制化により消滅"
"北那珂郡","日向市","郡廃止","","全市制化により消滅"
