旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"更級郡","千曲市","郡廃止","2003-09-01","戸倉町・更埴市合併・稲荷山などで消滅"
"戸倉町","千曲市","合併","2003-09-01","更級郡"
"更埴市","千曲市","市廃止/合併","2003-09-01","更埴市+戸倉町+上山田町合併"
"上山田町","千曲市","合併","2003-09-01","更級郡"
"東筑摩郡","松本市・麻績村等","郡縮小","","麻績村・筑北村等が残存"
"四賀村","松本市","編入","2005-04-01","東筑摩郡"
"安曇村","松本市","編入","2005-04-01","南安曇郡"
"奈川村","松本市","編入","2005-04-01","南安曇郡"
"梓川村","松本市","編入","2005-04-01","東筑摩郡"
"南安曇郡","松本市・安曇野市","郡廃止","2005-10-01","各町村が松本市・安曇野市に再編"
"穂高町","安曇野市","合併","2005-10-01","南安曇郡"
"豊科町","安曇野市","合併","2005-10-01","南安曇郡"
"三郷村","安曇野市","合併","2005-10-01","南安曇郡"
"堀金村","安曇野市","合併","2005-10-01","南安曇郡"
"一ノ宮町","塩尻市","編入","2005-04-01","東筑摩郡"
"埴科郡","千曲市・坂城町","郡縮小","","坂城町のみ残存"
"更埴市","千曲市","市廃止/合併","2003-09-01","更埴市が消滅"
"豊野町","長野市","編入","2005-01-01","上水内郡"
"戸隠村","長野市","編入","2005-01-01","上水内郡"
"鬼無里村","長野市","編入","2005-01-01","上水内郡"
"信州新町","長野市","編入","2010-01-01","上水内郡"
"中条村","長野市","編入","2010-01-01","上水内郡"
