旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"西彼杵郡","長与町・時津町・西海市","郡縮小","","長与町・時津町が残存"
"西彼町","西海市","合併","2005-04-01","西彼杵郡"
"大瀬戸町","西海市","合併","2005-04-01","西彼杵郡"
"西海町","西海市","合併","2005-04-01","西彼杵郡"
"崎戸町","西海市","合併","2005-04-01","西彼杵郡"
"大島町","西海市","合併","2005-04-01","西彼杵郡"
"東彼杵郡","東彼杵町・川棚町・波佐見町","郡縮小","","3町が残存"
"北松浦郡","小値賀町・佐々町","郡縮小","","2町が残存"
"江迎町","松浦市","編入","2010-03-31","北松浦郡"
"鹿町町","松浦市","編入","2010-03-31","北松浦郡"
"南松浦郡","新上五島町","郡縮小","2004-08-01","新上五島町のみ残存"
"有川町","新上五島町","合併","2004-08-01","南松浦郡"
"上五島町","新上五島町","合併","2004-08-01","南松浦郡"
"新魚目町","新上五島町","合併","2004-08-01","南松浦郡"
"若松町","新上五島町","合併","2004-08-01","南松浦郡"
"奈良尾町","新上五島町","合併","2004-08-01","南松浦郡"
"北高来郡","諫早市","郡廃止","2005-03-01","高来町ほかが諫早市に編入され消滅"
"高来町","諫早市","編入","2005-03-01","北高来郡"
"小長井町","諫早市","編入","2005-03-01","北高来郡"
"森山町","諫早市","編入","2005-03-01","北高来郡"
"南高来郡","雲仙市・南島原市","郡廃止","2006-03-31","各町が雲仙市・南島原市に再編"
"国見町","雲仙市","合併","2005-10-11","南高来郡"
"吾妻町","雲仙市","合併","2005-10-11","南高来郡"
"愛野町","雲仙市","合併","2005-10-11","南高来郡"
"千々石町","雲仙市","合併","2005-10-11","南高来郡"
"小浜町","雲仙市","合併","2005-10-11","南高来郡"
"南串山町","雲仙市","合併","2005-10-11","南高来郡"
"瑞穂町","雲仙市","合併","2005-10-11","南高来郡"
"加津佐町","南島原市","合併","2006-03-31","南高来郡"
"口之津町","南島原市","合併","2006-03-31","南高来郡"
"南有馬町","南島原市","合併","2006-03-31","南高来郡"
"北有馬町","南島原市","合併","2006-03-31","南高来郡"
"西有家町","南島原市","合併","2006-03-31","南高来郡"
"有家町","南島原市","合併","2006-03-31","南高来郡"
"布津町","南島原市","合併","2006-03-31","南高来郡"
"深江町","南島原市","合併","2006-03-31","南高来郡"
