旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"添上郡","奈良市","郡廃止","2006-01-01","月ヶ瀬村・都祁村が奈良市に編入され消滅"
"月ヶ瀬村","奈良市","編入","2005-04-01","添上郡"
"都祁村","奈良市","編入","2005-04-01","山辺郡"
"山辺郡","奈良市・天理市","郡縮小","","山添村のみ残存"
"磯城郡","桜井市・三宅町・川西町・田原本町","郡縮小","","3町が残存"
"宇陀郡","宇陀市・曽爾村・御杖村","郡縮小","","2村が残存"
"榛原町","宇陀市","合併","2006-01-01","宇陀郡"
"菟田野町","宇陀市","合併","2006-01-01","宇陀郡"
"大宇陀町","宇陀市","合併","2006-01-01","宇陀郡"
"室生村","宇陀市","合併","2006-01-01","宇陀郡"
"吉野郡","吉野町・下市町・黒滝村・天川村・野迫川村・十津川村・下北山村・上北山村・川上村・東吉野村","郡縮小","","多数の町村が残存（過疎地域）"
"大淀町","大淀町","残存","","吉野郡（現存）"
"五條市","五條市","市廃止/合併","2005-09-26","五條市+西吉野村+大塔村合併"
"西吉野村","五條市","編入","2005-09-26","吉野郡"
"大塔村","五條市","編入","2005-09-26","吉野郡"
"北葛城郡","大和高田市・香芝市・広陵町・河合町","郡縮小","","広陵町・河合町が残存"
"南葛城郡","御所市","郡廃止","2006-03-31","大淀町が吉野郡移行等で実質消滅"
