旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"北蒲原郡","新発田市・聖籠町","郡廃止","2010-03-31","各町村が新発田市等に再編され消滅（聖籠町のみ残存）"
"豊栄市","新潟市北区","編入","2005-03-21","新潟市の政令市移行に伴い区に再編"
"新津市","新潟市秋葉区","編入","2005-03-21","新潟市政令市移行"
"白根市","新潟市南区","編入","2005-03-21","新潟市政令市移行"
"亀田町","新潟市江南区","編入","2005-03-21","中蒲原郡"
"横越町","新潟市江南区","編入","2005-03-21","中蒲原郡"
"中蒲原郡","新潟市","郡廃止","2005-03-21","各町が新潟市に編入され消滅"
"西蒲原郡","新潟市西蒲区・燕市等","郡縮小","","弥彦村のみ残存"
"巻町","新潟市西蒲区","編入","2005-03-21","西蒲原郡"
"岩室村","新潟市西蒲区","編入","2005-03-21","西蒲原郡"
"西川町","新潟市西蒲区","編入","2005-03-21","西蒲原郡"
"黒埼町","新潟市西区","編入","2001-01-01","西蒲原郡"
"味方村","新潟市南区","編入","2005-03-21","西蒲原郡"
"月潟村","新潟市南区","編入","2005-03-21","西蒲原郡"
"中之口村","新潟市西蒲区","編入","2005-03-21","西蒲原郡"
"三条市","三条市","市廃止/合併","2005-05-01","三条市+栄町+下田村合併し新三条市"
"栄町","三条市","合併","2005-05-01","南蒲原郡"
"下田村","三条市","合併","2005-05-01","南蒲原郡"
"南蒲原郡","三条市・田上町","郡廃止","2010-03-31","田上町のみ残存→消滅"
"六日町","南魚沼市","合併","2004-11-01","南魚沼郡"
"大和町","南魚沼市","合併","2004-11-01","南魚沼郡"
"南魚沼郡","南魚沼市・湯沢町","郡廃止","2004-11-01","湯沢町のみ残存"
