旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"速見郡","日出町","郡縮小","","日出町のみ残存"
"山香町","杵築市","編入","2005-10-01","速見郡"
"大分郡","由布市・大分市","郡廃止","2005-10-01","挾間町ほかが由布市・大分市等に再編"
"挾間町","由布市","合併","2005-10-01","大分郡"
"庄内町","由布市","合併","2005-10-01","大分郡"
"湯布院町","由布市","合併","2005-10-01","大分郡"
"野津原町","大分市","編入","2005-01-01","大分郡"
"佐賀関町","大分市","編入","2005-01-01","大分郡"
"大野郡","豊後大野市・緒方町等","郡廃止","2005-03-31","各町村が豊後大野市等に再編"
"朝地町","豊後大野市","合併","2005-03-31","大野郡"
"緒方町","豊後大野市","合併","2005-03-31","大野郡"
"清川村","豊後大野市","合併","2005-03-31","大野郡"
"犬飼町","豊後大野市","合併","2005-03-31","大野郡"
"千歳村","豊後大野市","合併","2005-03-31","大野郡"
"三重町","豊後大野市","合併","2005-03-31","大野郡"
"直入郡","竹田市","郡廃止","2005-04-01","荻町ほかが竹田市に編入され消滅"
"荻町","竹田市","編入","2005-04-01","直入郡"
"久住町","竹田市","編入","2005-04-01","直入郡"
"嫗岳村","竹田市","編入","2005-04-01","直入郡"
"玖珠郡","玖珠町・九重町","郡縮小","","2町が残存"
"日田郡","日田市・九重町等","郡縮小","","九重町が残存（日田郡ではなく玖珠郡）"
"下毛郡","中津市","郡廃止","2005-03-01","三光村ほかが中津市に編入され消滅"
"三光村","中津市","編入","2005-03-01","下毛郡"
"本耶馬渓町","中津市","編入","2005-03-01","下毛郡"
"耶馬溪町","中津市","編入","2005-03-01","下毛郡"
"山国町","中津市","編入","2005-03-01","下毛郡"
"宇佐郡","豊後高田市・宇佐市","郡廃止","2005-03-31","各町が市に編入され消滅"
"安心院町","宇佐市","編入","2005-03-31","宇佐郡"
"院内町","宇佐市","編入","2005-03-31","宇佐郡"
