旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"苫田郡","津山市・鏡野町","郡縮小","2005-02-28","津山市編入等で縮小（鏡野町のみ残存）"
"阿波村","津山市","編入","2005-02-28","苫田郡"
"加茂町","津山市","編入","2005-02-28","苫田郡"
"勝北町","津山市","編入","2005-02-28","苫田郡"
"久米町","津山市","編入","2005-02-28","苫田郡"
"勝田郡","美作市・奈義町・勝央町","郡縮小","","2町が残存"
"美作町","美作市","合併","2005-03-31","勝田郡"
"英田郡","美作市・西粟倉村","郡縮小","","西粟倉村が残存"
"上山市","美作市","合併","2005-03-31","英田郡（旧勝山は真庭市）"
"真庭郡","真庭市・新庄村","郡縮小","2005-03-31","新庄村が残存"
"勝山町","真庭市","合併","2005-03-31","真庭郡"
"落合町","真庭市","合併","2005-03-31","真庭郡"
"湯原町","真庭市","合併","2005-03-31","真庭郡"
"久世町","真庭市","合併","2005-03-31","真庭郡"
"美甘村","真庭市","合併","2005-03-31","真庭郡"
"北房町","真庭市","合併","2005-03-31","真庭郡"
"御津郡","岡山市北区","郡廃止","2007-01-22","加茂川町・御津町が岡山市に編入され消滅"
"御津町","岡山市北区","編入","2007-01-22","御津郡"
"加茂川町","岡山市北区","編入","2007-01-22","御津郡"
"邑久郡","瀬戸内市","郡廃止","2004-11-01","牛窓町ほかが合併し瀬戸内市発足"
"邑久町","瀬戸内市","合併","2004-11-01","邑久郡"
"牛窓町","瀬戸内市","合併","2004-11-01","邑久郡"
"長船町","瀬戸内市","合併","2004-11-01","邑久郡"
"浅口郡","浅口市・里庄町","郡縮小","","里庄町が残存"
"金光町","浅口市","合併","2006-03-21","浅口郡"
"鴨方町","浅口市","合併","2006-03-21","浅口郡"
"寄島町","浅口市","合併","2006-03-21","浅口郡"
