旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"島尻郡","豊見城市・南城市・与那原町・南風原町・八重瀬町・渡嘉敷村・座間味村・粟国村・渡名喜村・南大東村・北大東村・伊平屋村・伊是名村・久米島町","郡縮小","","複数町村が残存"
"豊見城村","豊見城市","市制","2002-04-01","島尻郡"
"南城市","南城市","市廃止/合併","2006-01-01","4町村合併し南城市発足"
"佐敷町","南城市","合併","2006-01-01","島尻郡"
"知念村","南城市","合併","2006-01-01","島尻郡"
"玉城村","南城市","合併","2006-01-01","島尻郡"
"大里村","南城市","合併","2006-01-01","島尻郡"
"仲里村","久米島町","合併","2002-04-01","島尻郡"
"具志川村","久米島町","合併","2002-04-01","島尻郡"
"八重瀬町","八重瀬町","合併","2006-01-01","島尻郡（東風平町+具志頭村合併）"
"東風平町","八重瀬町","合併","2006-01-01","島尻郡"
"具志頭村","八重瀬町","合併","2006-01-01","島尻郡"
"中頭郡","沖縄市・宜野湾市・うるま市・北中城村・中城村・西原町・読谷村・嘉手納町・北谷町","郡縮小","","複数町村が残存"
"具志川市","うるま市","市廃止/合併","2005-04-01","4市町合併しうるま市発足"
"石川市","うるま市","市廃止/合併","2005-04-01","うるま市発足"
"与那城町","うるま市","合併","2005-04-01","中頭郡"
"勝連町","うるま市","合併","2005-04-01","中頭郡"
"国頭郡","名護市・今帰仁村・本部町・恩納村・宜野座村・金武町・伊江村・大宜味村・東村・国頭村","郡縮小","","複数町村が残存"
"宮古郡","宮古島市・多良間村","郡縮小","2005-10-01","宮古島市発足で縮小"
"平良市","宮古島市","市廃止/合併","2005-10-01","5市町村合併し宮古島市発足"
"城辺町","宮古島市","合併","2005-10-01","宮古郡"
"下地町","宮古島市","合併","2005-10-01","宮古郡"
"上野村","宮古島市","合併","2005-10-01","宮古郡"
"伊良部町","宮古島市","合併","2005-10-01","宮古郡"
"八重山郡","石垣市・竹富町・与那国町","郡縮小","","竹富町・与那国町が残存"
"琉球政府","沖縄県","廃止","1972-05-15","本土復帰により消滅"
"那覇市","那覇市","市残存","","旧那覇市（復帰前は琉球政府下）"
