旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"中河内郡","東大阪市・八尾市・柏原市","郡廃止","1971-04-01","各市への市制で消滅"
"布施市","東大阪市","市廃止/合併","1967-02-01","布施市・河内市・枚岡市合併"
"河内市","東大阪市","市廃止/合併","1967-02-01","布施市・河内市・枚岡市合併"
"枚岡市","東大阪市","市廃止/合併","1967-02-01","布施市・河内市・枚岡市合併"
"南河内郡","富田林市・河内長野市・大阪狭山市・羽曳野市・藤井寺市・太子町・河南町・千早赤阪村","郡縮小","","3町村が残存"
"北河内郡","交野市・寝屋川市等","郡廃止","1971年頃","全市制化により消滅"
"泉北郡","泉南市・阪南市・泉大津市等","郡縮小","","田尻町・岬町が残存"
"泉南郡","泉南市・阪南市・泉佐野市等","郡縮小","","田尻町・岬町・熊取町が残存"
"三島郡","島本町","郡縮小","","島本町のみ残存"
"豊能郡","豊能町・能勢町","郡縮小","","2町が残存"
"住吉村","大阪市住吉区","編入","1925年","東成郡（昭和以前）"
"東成郡","大阪市","郡廃止","1925年","大阪市への大合併で消滅"
"西成郡","大阪市","郡廃止","1925年","大阪市への大合併で消滅"
"西区","大阪市西区","区残存","","住之江区・大正区に分区後も西区は残存"
"住之江区","大阪市住之江区","区新設","1974-07-22","西区から分区"
