旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"佐賀郡","佐賀市","郡廃止","2007-10-01","諸富町ほかが佐賀市に編入され消滅"
"大和町","佐賀市","編入","2005-10-01","佐賀郡"
"諸富町","佐賀市","編入","2007-10-01","佐賀郡"
"富士町","佐賀市","編入","2005-10-01","佐賀郡"
"三瀬村","佐賀市","編入","2005-10-01","佐賀郡"
"川副町","佐賀市","編入","2007-10-01","佐賀郡"
"東与賀町","佐賀市","編入","2007-10-01","佐賀郡"
"久保田町","佐賀市","編入","2007-10-01","佐賀郡"
"神埼郡","神埼市・吉野ヶ里町","郡縮小","","吉野ヶ里町が残存"
"神埼町","神埼市","合併","2006-03-20","神埼郡"
"千代田町","神埼市","合併","2006-03-20","神埼郡"
"東脊振村","吉野ヶ里町","合併","2006-03-01","神埼郡"
"脊振村","吉野ヶ里町","合併","2006-03-01","神埼郡"
"三田川町","吉野ヶ里町","合併","2006-03-01","神埼郡"
"杵島郡","白石町・大町町・江北町","郡縮小","","3町が残存"
"有明町","白石町","合併","2005-01-01","杵島郡"
"福富町","白石町","合併","2005-01-01","杵島郡"
"藤津郡","太良町","郡縮小","","太良町のみ残存"
"鹿島市","鹿島市","市廃止/合併","2005-03-28","旧鹿島市+浜町（吸収）"
"小城郡","小城市","郡廃止","2005-03-01","4町合併し小城市発足"
"小城町","小城市","合併","2005-03-01","小城郡"
"三日月町","小城市","合併","2005-03-01","小城郡"
"芦刈町","小城市","合併","2005-03-01","小城郡"
"牛津町","小城市","合併","2005-03-01","小城郡"
"東松浦郡","玄海町","郡縮小","","玄海町のみ残存"
"北松浦郡","松浦市・江北町等","郡縮小","","複数町が残存"
