旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"浦和市","さいたま市","市廃止/合併","2001-05-01","大宮市・与野市と合併しさいたま市発足"
"大宮市","さいたま市","市廃止/合併","2001-05-01","浦和市・与野市と合併しさいたま市発足"
"与野市","さいたま市","市廃止/合併","2001-05-01","浦和市・大宮市と合併しさいたま市発足"
"岩槻市","さいたま市岩槻区","編入","2005-04-01","平成の大合併"
"鳩ヶ谷市","川口市","編入","2011-10-11","平成の大合併"
"上福岡市","ふじみ野市","市廃止/合併","2005-10-01","大井町と合併しふじみ野市発足"
"大井町","ふじみ野市","町廃止/合併","2005-10-01","上福岡市と合併しふじみ野市発足（入間郡）"
"庄和町","春日部市","編入","2005-10-01","平成の大合併（北葛飾郡）"
"妻沼町","熊谷市","編入","2005-10-01","平成の大合併（大里郡）"
"江南町","熊谷市","編入","2007-02-13","平成の大合併（大里郡）"
"岡部町","深谷市","編入","2006-01-01","平成の大合併（大里郡）"
"川本町","深谷市","編入","2006-01-01","平成の大合併（大里郡）"
"花園町","深谷市","編入","2006-01-01","平成の大合併（大里郡）"
"児玉町","本庄市","編入","2006-01-10","平成の大合併（児玉郡）"
"吉田町","秩父市","編入","2005-04-01","平成の大合併（秩父郡）"
"荒川村","秩父市","編入","2005-04-01","平成の大合併（秩父郡）"
"大滝村","秩父市","編入","2005-04-01","平成の大合併（秩父郡）"
"名栗村","飯能市","編入","2005-01-01","平成の大合併（入間郡）"
"騎西町","加須市","編入","2010-03-23","平成の大合併（北埼玉郡）"
"北川辺町","加須市","編入","2010-03-23","平成の大合併（北埼玉郡）"
"大利根町","加須市","編入","2010-03-23","平成の大合併（北埼玉郡）"
"鷲宮町","久喜市","編入","2010-03-23","平成の大合併（南埼玉郡）"
"菖蒲町","久喜市","編入","2010-03-23","平成の大合併（北足立郡）"
"栗橋町","久喜市","編入","2010-03-23","平成の大合併（北葛飾郡）"
"鷹巣村","上里町","編入","","旧表記"
"吹上町","鴻巣市","編入","2005-10-01","平成の大合併（北足立郡）"
"川里町","鴻巣市","編入","2005-10-01","平成の大合併（北足立郡）"
"騎西町","加須市","編入","2010-03-23","平成の大合併"
"北埼玉郡","加須市等","郡廃止","2010-03-23","騎西町・北川辺町・大利根町が加須市に編入され消滅"
