旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"神崎郡","東近江市","郡廃止","2006-02-13","永源寺町・五個荘町等が東近江市に編入され消滅"
"永源寺町","東近江市","編入","2005-02-11","神崎郡"
"五個荘町","東近江市","編入","2005-02-11","神崎郡"
"八日市市","東近江市","市廃止/合併","2005-02-11","八日市市+神崎郡各町合併"
"蒲生郡","近江八幡市・東近江市・日野町・竜王町","郡縮小","","日野町・竜王町が残存"
"安土町","近江八幡市","編入","2010-03-21","蒲生郡"
"栗東市","栗東市","市制","2001-10-01","栗東町が市制（栗太郡消滅）"
"栗太郡","栗東市","郡廃止","2001-10-01","栗東町の市制で消滅"
"野洲郡","野洲市・守山市","郡廃止","2004-10-01","野洲町・中主町合併し野洲市発足で消滅"
"野洲町","野洲市","合併","2004-10-01","野洲郡"
"中主町","野洲市","合併","2004-10-01","野洲郡"
"甲賀郡","甲賀市・湖南市","郡廃止","2004-10-01","各町が市に再編され消滅"
"水口町","甲賀市","合併","2004-10-01","甲賀郡"
"甲南町","甲賀市","合併","2004-10-01","甲賀郡"
"甲賀町","甲賀市","合併","2004-10-01","甲賀郡"
"信楽町","甲賀市","合併","2004-10-01","甲賀郡"
"土山町","甲賀市","合併","2004-10-01","甲賀郡"
"甲西町","湖南市","合併","2004-10-01","甲賀郡"
"石部町","湖南市","合併","2004-10-01","甲賀郡"
"犬上郡","彦根市・豊郷町・甲良町・多賀町","郡縮小","","3町が残存"
"坂田郡","米原市・長浜市","郡廃止","2010-01-01","米原市編入等で消滅"
"伊吹町","米原市","編入","2005-02-14","坂田郡"
"山東町","米原市","合併","2005-02-14","坂田郡"
"近江町","米原市","合併","2005-02-14","坂田郡"
