旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"能義郡","安来市","郡廃止","2005-03-31","広瀬町・伯太町が安来市に編入され消滅"
"広瀬町","安来市","編入","2005-03-31","能義郡"
"伯太町","安来市","編入","2005-03-31","能義郡"
"仁多郡","奥出雲町","郡縮小","2005-03-31","仁多町・奥出雲町合併し新奥出雲町"
"仁多町","奥出雲町","合併","2005-03-31","仁多郡"
"大原郡","雲南市","郡廃止","2005-03-31","大東町ほかが雲南市に編入され消滅"
"大東町","雲南市","合併","2005-03-31","大原郡"
"加茂町","雲南市","合併","2005-03-31","大原郡"
"木次町","雲南市","合併","2005-03-31","仁多郡"
"三刀屋町","雲南市","合併","2005-03-31","飯石郡"
"吉田村","雲南市","合併","2005-03-31","飯石郡"
"掛合町","雲南市","合併","2005-03-31","飯石郡"
"飯石郡","雲南市・飯南町","郡縮小","","飯南町が残存"
"邑智郡","邑南町・川本町・美郷町","郡縮小","","3町が残存"
"羽須美村","邑南町","合併","2004-10-01","邑智郡"
"瑞穂町","邑南町","合併","2004-10-01","邑智郡"
"石見町","邑南町","合併","2004-10-01","邑智郡"
"那賀郡","江津市・浜田市","郡縮小","","旧那賀郡（石見地方）"
"桜江町","江津市","編入","2004-10-01","那賀郡"
"美濃郡","益田市","郡縮小","","益田市隣接"
"鹿足郡","津和野町・吉賀町","郡縮小","","2町が残存"
"日原町","津和野町","合併","2011-03-31","鹿足郡"
