旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"庵原郡","静岡市・富士市","郡廃止","2008-11-01","由比町・蒲原町が静岡市に編入され消滅"
"蒲原町","静岡市清水区","編入","2008-11-01","庵原郡"
"由比町","静岡市清水区","編入","2010-04-01","庵原郡"
"清水市","静岡市清水区","市廃止/合併","2003-04-01","静岡市と合併し政令市移行"
"富士川町","富士市","編入","2008-11-01","富士郡"
"富士郡","富士市","郡廃止","2008-11-01","富士川町が富士市に編入され消滅"
"小笠郡","菊川市・掛川市","郡廃止","2005-04-01","各町が市に再編され消滅"
"小笠町","菊川市","合併","2005-01-17","小笠郡"
"菊川町","菊川市","市制","2005-01-17","小笠郡"
"大東町","掛川市","編入","2005-04-01","小笠郡"
"大須賀町","掛川市","編入","2005-04-01","小笠郡"
"榛原郡","牧之原市・御前崎市・吉田町","郡縮小","","吉田町が残存"
"榛原町","牧之原市","合併","2005-10-11","榛原郡"
"相良町","牧之原市","合併","2005-10-11","榛原郡"
"御前崎町","御前崎市","合併","2004-04-01","小笠郡"
"浜岡町","御前崎市","合併","2004-04-01","小笠郡"
"磐田郡","浜松市・磐田市","郡廃止","2005-07-01","豊岡村が磐田市に編入され消滅"
"豊岡村","磐田市","編入","2005-07-01","磐田郡"
"天竜市","浜松市天竜区","市廃止/合併","2005-07-01","浜松市の政令市移行に伴い区に再編"
"浜北市","浜松市浜北区","市廃止/合併","2005-07-01","浜松市の政令市移行に伴い区に再編"
"湖西市","湖西市","市残存","","引佐郡から独立・市残存"
