旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"都賀郡","栃木市","郡廃止","2010-03-29","都賀町・西方町が栃木市に編入され消滅"
"都賀町","栃木市","編入","2010-03-29","都賀郡"
"西方町","栃木市","編入","2011-10-01","都賀郡"
"上都賀郡","鹿沼市","郡廃止","2006-01-01","粟野町が鹿沼市に編入され消滅"
"粟野町","鹿沼市","編入","2006-01-01","上都賀郡"
"塩谷郡","塩谷町・高根沢町","郡縮小","","塩谷町・高根沢町が残存"
"藤原町","日光市","編入","2006-03-20","塩谷郡（旧今市市圏域）"
"今市市","日光市","市廃止/合併","2006-03-20","5市町村合併し日光市発足"
"足尾町","日光市","編入","2006-03-20","上都賀郡"
"栗山村","日光市","編入","2006-03-20","塩谷郡"
"湯西川村","日光市","編入","2006-03-20","塩谷郡（旧藤原町内）"
"南那須郡","那須烏山市・那珂川町","郡廃止","2005-10-01","烏山町ほかが那須烏山市に再編等"
"烏山町","那須烏山市","合併","2005-10-01","南那須郡"
"南那須町","那須烏山市","合併","2005-10-01","南那須郡"
"馬頭町","那珂川町","合併","2005-10-01","那須郡"
"小川町","那珂川町","合併","2005-10-01","那須郡"
"西那須野町","那須塩原市","合併","2005-10-01","那須郡"
"塩原町","那須塩原市","合併","2005-10-01","那須郡"
"黒磯市","那須塩原市","市廃止/合併","2005-10-01","3市町合併し那須塩原市発足"
