旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"名東郡","徳島市","郡廃止","1955年頃","佐那河内村を除き徳島市に編入"
"板野郡","板野町・北島町・藍住町・上板町・松茂町","郡縮小","","5町が残存"
"名西郡","石井町・神山町","郡縮小","","2町が残存"
"麻植郡","吉野川市","郡廃止","2004-10-01","各町が合併し吉野川市発足"
"鴨島町","吉野川市","合併","2004-10-01","麻植郡"
"川島町","吉野川市","合併","2004-10-01","麻植郡"
"山川町","吉野川市","合併","2004-10-01","麻植郡"
"美郷村","吉野川市","合併","2004-10-01","麻植郡"
"美馬郡","美馬市・つるぎ町","郡縮小","","つるぎ町が残存"
"脇町","美馬市","合併","2005-03-01","美馬郡"
"美馬町","美馬市","合併","2005-03-01","美馬郡"
"穴吹町","美馬市","合併","2005-03-01","美馬郡"
"木屋平村","美馬市","合併","2005-03-01","美馬郡"
"一宇村","つるぎ町","合併","2005-03-01","美馬郡"
"半田町","つるぎ町","合併","2005-03-01","美馬郡"
"貞光町","つるぎ町","合併","2005-03-01","美馬郡"
"三好郡","三好市・東みよし町","郡縮小","","東みよし町が残存"
"池田町","三好市","合併","2006-03-01","三好郡"
"山城町","三好市","合併","2006-03-01","三好郡"
"西祖谷山村","三好市","合併","2006-03-01","三好郡"
"東祖谷山村","三好市","合併","2006-03-01","三好郡"
"井川町","三好市","合併","2006-03-01","三好郡"
"那賀郡","那賀町","郡縮小","2005-03-01","那賀町のみ残存"
"海部郡","海陽町・牟岐町・美波町","郡縮小","","3町が残存"
"宍喰町","海陽町","合併","2006-03-31","海部郡"
"海南町","海陽町","合併","2006-03-31","海部郡"
