旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"城東区","江東区・江戸川区","区廃止/合併","1947-03-15","1947年の区再編で廃止"
"深川区","江東区","区廃止/合併","1947-03-15","1947年の区再編で廃止"
"本所区","墨田区","区廃止/合併","1947-03-15","向島区と合併し墨田区発足"
"向島区","墨田区","区廃止/合併","1947-03-15","本所区と合併し墨田区発足"
"浅草区","台東区","区廃止/合併","1947-03-15","下谷区と合併し台東区発足"
"下谷区","台東区","区廃止/合併","1947-03-15","浅草区と合併し台東区発足"
"神田区","千代田区","区廃止/合併","1947-03-15","麹町区と合併し千代田区発足"
"麹町区","千代田区","区廃止/合併","1947-03-15","神田区と合併し千代田区発足"
"日本橋区","中央区","区廃止/合併","1947-03-15","京橋区と合併し中央区発足"
"京橋区","中央区","区廃止/合併","1947-03-15","日本橋区と合併し中央区発足"
"芝区","港区","区廃止/合併","1947-03-15","麻布区・赤坂区と合併し港区発足"
"麻布区","港区","区廃止/合併","1947-03-15","芝区・赤坂区と合併し港区発足"
"赤坂区","港区","区廃止/合併","1947-03-15","芝区・麻布区と合併し港区発足"
"四谷区","新宿区","区廃止/合併","1947-03-15","牛込区・淀橋区と合併し新宿区発足"
"牛込区","新宿区","区廃止/合併","1947-03-15","四谷区・淀橋区と合併し新宿区発足"
"淀橋区","新宿区","区廃止/合併","1947-03-15","四谷区・牛込区と合併し新宿区発足"
"小石川区","文京区","区廃止/合併","1947-03-15","本郷区と合併し文京区発足"
"本郷区","文京区","区廃止/合併","1947-03-15","小石川区と合併し文京区発足"
"滝野川区","北区","区廃止/合併","1947-03-15","王子区と合併し北区発足"
"王子区","北区","区廃止/合併","1947-03-15","滝野川区と合併し北区発足"
"蒲田区","大田区","区廃止/合併","1947-03-15","荏原区と合併し大田区発足"
"荏原区","大田区・品川区","区廃止/合併","1947-03-15","蒲田区と合併し大田区、一部品川区発足"
"荏原郡","世田谷区・目黒区・品川区・大田区","郡廃止","1932-10-01","1932年の大合併で東京市に編入され郡消滅"
"豊多摩郡","新宿区・渋谷区・中野区・杉並区","郡廃止","1932-10-01","1932年の大合併で東京市に編入され郡消滅"
"北豊島郡","豊島区・板橋区・荒川区・足立区・北区","郡廃止","1932-10-01","1932年の大合併で東京市に編入され郡消滅"
"南足立郡","足立区","郡廃止","1932-10-01","1932年の大合併で東京市に編入され郡消滅"
"南葛飾郡","葛飾区・江戸川区","郡廃止","1932-10-01","1932年の大合併で東京市に編入され郡消滅"
"北多摩郡","立川市・府中市・調布市・三鷹市等","郡廃止","1970-10-01","各市の市制施行等により郡消滅"
"南多摩郡","八王子市・多摩市・稲城市等","郡廃止","1967-01-01","各市の市制施行等により郡消滅"
"保谷市","西東京市","市廃止/合併","2001-01-21","田無市と合併し西東京市発足"
"田無市","西東京市","市廃止/合併","2001-01-21","保谷市と合併し西東京市発足"
"秋川市","あきる野市","市廃止/合併","1995-09-01","五日市町と合併しあきる野市発足"
"五日市町","あきる野市","町廃止/合併","1995-09-01","秋川市と合併しあきる野市発足（西多摩郡）"
"東京府","東京都","府廃止","1943-07-01","東京府・東京市廃止、東京都発足"
"砂川町","立川市","編入","1963-06-01","北多摩郡"
"神代町","調布市","編入","1955-04-01","北多摩郡"
