旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"気高郡","鳥取市","郡廃止","2004-11-01","気高町・鹿野町・青谷町が鳥取市に編入され消滅"
"気高町","鳥取市","編入","2004-11-01","気高郡"
"鹿野町","鳥取市","編入","2004-11-01","気高郡"
"青谷町","鳥取市","編入","2004-11-01","気高郡"
"岩美郡","岩美町","郡縮小","","岩美町のみ残存"
"八頭郡","八頭町・若桜町・智頭町","郡縮小","","3町が残存"
"郡家町","八頭町","合併","2005-03-31","八頭郡"
"船岡町","八頭町","合併","2005-03-31","八頭郡"
"八東町","八頭町","合併","2005-03-31","八頭郡"
"西伯郡","伯耆町・南部町・大山町・日吉津村","郡縮小","","4町村が残存"
"岸本町","伯耆町","合併","2005-03-31","西伯郡"
"溝口町","伯耆町","合併","2005-03-31","西伯郡"
"会見町","南部町","合併","2005-03-31","西伯郡"
"西伯町","南部町","合併","2005-03-31","西伯郡"
"大山町","大山町","合併","2005-03-31","西伯郡（旧・大山町+名和町+中山町）"
"東伯郡","琴浦町・北栄町・三朝町・湯梨浜町","郡縮小","","4町が残存"
"赤碕町","琴浦町","合併","2004-09-01","東伯郡"
"東伯町","琴浦町","合併","2004-09-01","東伯郡"
"大栄町","北栄町","合併","2005-10-01","東伯郡"
"北条町","北栄町","合併","2005-10-01","東伯郡"
"日野郡","日野町・江府町・日南町","郡縮小","","3町が残存"
