旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"婦負郡","富山市","郡廃止","2008-11-01","細入村が富山市に編入され消滅"
"大山町","富山市","編入","2005-04-01","上新川郡"
"細入村","富山市","編入","2008-11-01","婦負郡"
"八尾町","富山市","編入","2005-04-01","婦負郡"
"山田村","富山市","編入","2005-04-01","婦負郡"
"upper新川郡","魚津市・黒部市・入善町・朝日町","郡縮小","","入善町・朝日町が残存"
"上新川郡","富山市","郡廃止","2005-04-01","大山町が富山市編入で消滅"
"福野町","南砺市","合併","2004-11-01","東砺波郡"
"城端町","南砺市","合併","2004-11-01","東砺波郡"
"平村","南砺市","合併","2004-11-01","東砺波郡"
"上平村","南砺市","合併","2004-11-01","東砺波郡"
"利賀村","南砺市","合併","2004-11-01","東砺波郡"
"井波町","南砺市","合併","2004-11-01","東砺波郡"
"井口村","南砺市","合併","2004-11-01","西砺波郡"
"福光町","南砺市","合併","2004-11-01","西砺波郡"
"東砺波郡","南砺市・砺波市","郡廃止","2004-11-01","各町村が南砺市・砺波市に再編され消滅"
"西砺波郡","南砺市","郡廃止","2004-11-01","各町村が南砺市に編入され消滅"
"庄川町","砺波市","編入","2004-11-01","東砺波郡"
