旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"那賀郡","紀の川市","郡廃止","2005-11-07","打田町ほか5町合併し紀の川市発足"
"打田町","紀の川市","合併","2005-11-07","那賀郡"
"粉河町","紀の川市","合併","2005-11-07","那賀郡"
"那賀町","紀の川市","合併","2005-11-07","那賀郡"
"桃山町","紀の川市","合併","2005-11-07","那賀郡"
"貴志川町","紀の川市","合併","2005-11-07","那賀郡"
"海草郡","紀美野町","郡縮小","2006-01-01","野上町・美里町合併し紀美野町、海南市編入等"
"野上町","紀美野町","合併","2006-01-01","海草郡"
"美里町","紀美野町","合併","2006-01-01","海草郡"
"有田郡","有田川町・湯浅町・広川町","郡縮小","","湯浅町・広川町が残存"
"吉備町","有田川町","合併","2006-01-01","有田郡"
"金屋町","有田川町","合併","2006-01-01","有田郡"
"清水町","有田川町","合併","2006-01-01","有田郡"
"日高郡","みなべ町・日高川町・日高町・由良町・印南町・美浜町","郡縮小","","複数町が残存"
"南部町","みなべ町","合併","2004-10-01","日高郡"
"南部川村","みなべ町","合併","2004-10-01","日高郡"
"中津村","日高川町","合併","2005-05-01","日高郡"
"川辺町","日高川町","合併","2005-05-01","日高郡"
"美山村","日高川町","合併","2005-05-01","日高郡"
"西牟婁郡","白浜町・すさみ町・上富田町","郡縮小","","3町が残存"
"東牟婁郡","那智勝浦町・太地町・古座川町・北山村・串本町","郡縮小","","5町村が残存"
"熊野川町","新宮市","編入","2005-10-01","東牟婁郡"
