旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"東田川郡","鶴岡市","郡廃止","2005-10-01","藤島町ほか5町が鶴岡市に編入され消滅"
"藤島町","鶴岡市","編入","2005-10-01","東田川郡"
"羽黒町","鶴岡市","編入","2005-10-01","東田川郡"
"櫛引町","鶴岡市","編入","2005-10-01","東田川郡"
"朝日村","鶴岡市","編入","2005-10-01","東田川郡"
"温海町","鶴岡市","編入","2005-10-01","東田川郡"
"飽海郡","酒田市","郡廃止","2005-11-01","八幡町・松山町・平田町が酒田市に編入され消滅"
"八幡町","酒田市","編入","2005-11-01","飽海郡"
"松山町","酒田市","編入","2005-11-01","飽海郡"
"平田町","酒田市","編入","2005-11-01","飽海郡"
"東置賜郡","南陽市・高畠町・川西町","郡縮小","","南陽市・高畠町・川西町が残存"
"西置賜郡","長井市・白鷹町・飯豊町","郡縮小","","長井市分離後も町村が残存"
"南村山郡","山形市","郡廃止","","各村が山形市に編入され消滅"
"寒河江市","寒河江市","市残存","","西村山郡から独立・市残存"
