旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"都濃郡","周南市","郡廃止","2003-04-21","新南陽市ほかが合併し周南市発足"
"新南陽市","周南市","市廃止/合併","2003-04-21","都濃郡"
"熊毛郡","周南市・光市・田布施町・平生町","郡縮小","","田布施町・平生町が残存"
"熊毛町","周南市","編入","2003-04-21","熊毛郡"
"鹿野町","周南市","編入","2003-04-21","都濃郡"
"大島郡","周防大島町","郡縮小","2004-10-01","周防大島町のみ残存"
"東和町","周防大島町","合併","2004-10-01","大島郡"
"久賀町","周防大島町","合併","2004-10-01","大島郡"
"大島町","周防大島町","合併","2004-10-01","大島郡"
"橘町","周防大島町","合併","2004-10-01","大島郡"
"玖珂郡","岩国市・和木町","郡縮小","2006-03-20","岩国市大合併等で縮小（和木町のみ残存）"
"玖珂町","岩国市","編入","2006-03-20","玖珂郡"
"本郷村","岩国市","編入","2006-03-20","玖珂郡"
"錦町","岩国市","編入","2006-03-20","玖珂郡"
"美川町","岩国市","編入","2006-03-20","玖珂郡"
"美和町","岩国市","編入","2006-03-20","玖珂郡"
"由宇町","岩国市","編入","2006-03-20","玖珂郡"
"厚狭郡","山陽小野田市","郡廃止","2005-03-22","小野田市+山陽町合併し山陽小野田市"
"山陽町","山陽小野田市","合併","2005-03-22","厚狭郡"
"小野田市","山陽小野田市","市廃止/合併","2005-03-22","山陽小野田市発足"
"豊浦郡","下関市","郡廃止","2005-02-13","菊川町ほかが下関市に編入され消滅"
"菊川町","下関市","編入","2005-02-13","豊浦郡"
"豊田町","下関市","編入","2005-02-13","豊浦郡"
"豊北町","下関市","編入","2005-02-13","豊浦郡"
"豊浦町","下関市","編入","2005-02-13","豊浦郡"
