旧住所キーワード,現市町村名,変遷種別,変遷年月日,備考
"中巨摩郡","南アルプス市・昭和町・中央市","郡縮小","","昭和町のみ残存"
"若草町","南アルプス市","合併","2003-04-01","中巨摩郡"
"八田村","南アルプス市","合併","2003-04-01","中巨摩郡"
"白根町","南アルプス市","合併","2003-04-01","中巨摩郡"
"芦安村","南アルプス市","合併","2003-04-01","中巨摩郡"
"甲西町","南アルプス市","合併","2003-04-01","中巨摩郡"
"玉穂町","中央市","合併","2006-02-20","中巨摩郡"
"豊富村","中央市","合併","2006-02-20","中巨摩郡"
"田富町","中央市","合併","2006-02-20","中巨摩郡"
"東八代郡","笛吹市・山梨市・甲州市","郡廃止","2006-03-01","各町が市に再編され消滅"
"春日居町","笛吹市","編入","2004-10-12","東八代郡"
"石和町","笛吹市","合併","2004-10-12","東八代郡"
"御坂町","笛吹市","合併","2004-10-12","東八代郡"
"一宮町","笛吹市","合併","2004-10-12","東八代郡"
"八代町","笛吹市","合併","2004-10-12","東八代郡"
"境川村","笛吹市","合併","2004-10-12","東山梨郡"
"東山梨郡","山梨市・甲州市","郡廃止","2005-11-01","各町が市に再編され消滅"
"塩山市","甲州市","市廃止/合併","2005-11-01","3市町合併し甲州市発足"
"大和村","甲州市","編入","2005-11-01","東山梨郡"
"勝沼町","甲州市","編入","2005-11-01","東山梨郡"
"西八代郡","市川三郷町","郡縮小","","市川三郷町のみ残存"
"市川大門町","市川三郷町","合併","2010-07-01","西八代郡"
"三珠町","市川三郷町","合併","2010-07-01","西八代郡"
"六郷町","市川三郷町","合併","2010-07-01","西八代郡"
